affix_family,installable_tags,rarity_1_name,rarity_1_localized_effect,rarity_1_xml_effects,rarity_1_modifier_id,rarity_2_name,rarity_2_localized_effect,rarity_2_xml_effects,rarity_2_modifier_id,rarity_3_name,rarity_3_localized_effect,rarity_3_xml_effects,rarity_3_modifier_id,rarity_4_name,rarity_4_localized_effect,rarity_4_xml_effects,rarity_4_modifier_id,rarity_5_name,rarity_5_localized_effect,rarity_5_xml_effects,rarity_5_modifier_id,rarity_6_name,rarity_6_localized_effect,rarity_6_xml_effects,rarity_6_modifier_id
affixModMagSizePerc,magazine,Common Magazine %,Increases Magazine size by 20%.,MagazineSize perc_add .2,affixModMagSizePerc1,[68F968]Uncommon[-] Magazine %,Increases Magazine size by 40%.,MagazineSize perc_add .4,affixModMagSizePerc2,[38A6F6]Rare[-] Magazine %,Increases Magazine size by 60%.,MagazineSize perc_add .6,affixModMagSizePerc3,[852EC8]Epic[-] Magazine %,Increases Magazine size by 80%.,MagazineSize perc_add .8,affixModMagSizePerc4,[D6D162]Legendary[-] Magazine %,Increases Magazine size by 100%.,MagazineSize perc_add 1,affixModMagSizePerc5,[FF3646]Mythic[-] Magazine %,Increases Magazine size by 120%.,MagazineSize perc_add 1.2,affixModMagSizePerc6
affixModMaxHpBonusDamage,"tool,weapon",Common Damage at MaxHP,Increases weapon damage by 15% when you're at max HP.,EntityDamage perc_add .15,affixModMaxHpBonusDamage1,[68F968]Uncommon[-] Damage at MaxHP,Increases weapon damage by 30% when you're at max HP.,EntityDamage perc_add .3,affixModMaxHpBonusDamage2,[38A6F6]Rare[-] Damage at MaxHP,Increases weapon damage by 45% when you're at max HP.,EntityDamage perc_add .45,affixModMaxHpBonusDamage3,[852EC8]Epic[-] Damage at MaxHP,Increases weapon damage by 60% when you're at max HP.,EntityDamage perc_add .6,affixModMaxHpBonusDamage4,[D6D162]Legendary[-] Damage at MaxHP,Increases weapon damage by 75% when you're at max HP.,EntityDamage perc_add .75,affixModMaxHpBonusDamage5,[FF3646]Mythic[-] Damage at MaxHP,Increases weapon damage by 90% when you're at max HP.,EntityDamage perc_add .9,affixModMaxHpBonusDamage6
affixModNightDamageBase,"tool,weapon",Common Night Damage Base,Increases base weapon damage by 2 at night.,EntityDamage base_add 2,affixModNightDamageBase1,[68F968]Uncommon[-] Night Damage Base,Increases base weapon damage by 4 at night.,EntityDamage base_add 4,affixModNightDamageBase2,[38A6F6]Rare[-] Night Damage Base,Increases base weapon damage by 6 at night.,EntityDamage base_add 6,affixModNightDamageBase3,[852EC8]Epic[-] Night Damage Base,Increases base weapon damage by 8 at night.,EntityDamage base_add 8,affixModNightDamageBase4,[D6D162]Legendary[-] Night Damage Base,Increases base weapon damage by 10 at night.,EntityDamage base_add 10,affixModNightDamageBase5,[FF3646]Mythic[-] Night Damage Base,Increases base weapon damage by 12 at night.,EntityDamage base_add 12,affixModNightDamageBase6
affixModNightDamagePerc,"tool,weapon",Common Night Damage %,Increases weapon damage by 20% at night.,EntityDamage perc_add .2,affixModNightDamagePerc1,[68F968]Uncommon[-] Night Damage %,Increases weapon damage by 40% at night.,EntityDamage perc_add .4,affixModNightDamagePerc2,[38A6F6]Rare[-] Night Damage %,Increases weapon damage by 60% at night.,EntityDamage perc_add .6,affixModNightDamagePerc3,[852EC8]Epic[-] Night Damage %,Increases weapon damage by 80% at night.,EntityDamage perc_add .8,affixModNightDamagePerc4,[D6D162]Legendary[-] Night Damage %,Increases weapon damage by 100% at night.,EntityDamage perc_add 1.0,affixModNightDamagePerc5,[FF3646]Mythic[-] Night Damage %,Increases weapon damage by 120% at night.,EntityDamage perc_add 1.2,affixModNightDamagePerc6
affixModProjectileVelo,"bow, crossbow",Common Projectilevelocity,Increases projectile velocity by 10%.,ProjectileVelocity perc_add 0.1,affixModProjectileVelo1,[68F968]Uncommon[-] Projectilevelocity,Increases projectile velocity by 20%.,ProjectileVelocity perc_add 0.2,affixModProjectileVelo2,[38A6F6]Rare[-] Projectilevelocity,Increases projectile velocity by 30%.,ProjectileVelocity perc_add 0.3,affixModProjectileVelo3,[852EC8]Epic[-] Projectilevelocity,Increases projectile velocity by 40%.,ProjectileVelocity perc_add 0.4,affixModProjectileVelo4,[D6D162]Legendary[-] Projectilevelocity,Increases projectile velocity by 50%.,ProjectileVelocity perc_add 0.5,affixModProjectileVelo5,[FF3646]Mythic[-] Projectilevelocity,Increases projectile velocity by 60%.,ProjectileVelocity perc_add 0.6,affixModProjectileVelo6
affixModRagdoll,"tool,weapon",Common Ragdoll,You have a 10% chance to ragdoll an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryKnockdown01)",affixModRagdoll1,[68F968]Uncommon[-] Ragdoll,You have a 20% chance to ragdoll an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryKnockdown01)",affixModRagdoll2,[38A6F6]Rare[-] Ragdoll,You have a 30% chance to ragdoll an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryKnockdown01)",affixModRagdoll3,[852EC8]Epic[-] Ragdoll,You have a 40% chance to ragdoll an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryKnockdown01)",affixModRagdoll4,[D6D162]Legendary[-] Ragdoll,You have a 50% chance to ragdoll an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryKnockdown01)",affixModRagdoll5,[FF3646]Mythic[-] Ragdoll,You have a 60% chance to ragdoll an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryKnockdown01)",affixModRagdoll6
affixModRangePerc,ranged,Common Ranged Upgrade,Increases effective range by 10%.,DamageFalloffRange perc_add 0.1,affixModRangePerc1,[68F968]Uncommon[-] Ranged Upgrade,Increases effective range by 20%.,DamageFalloffRange perc_add 0.2,affixModRangePerc2,[38A6F6]Rare[-] Ranged Upgrade,Increases effective range by 30%.,DamageFalloffRange perc_add 0.3,affixModRangePerc3,[852EC8]Epic[-] Ranged Upgrade,Increases effective range by 40%.,DamageFalloffRange perc_add 0.4,affixModRangePerc4,[D6D162]Legendary[-] Ranged Upgrade,Increases effective range by 50%.,DamageFalloffRange perc_add 0.5,affixModRangePerc5,[FF3646]Mythic[-] Ranged Upgrade,Increases effective range by 60%.,DamageFalloffRange perc_add 0.6,affixModRangePerc6
affixModReloadSpeed,ranged,Common Reload Speed,Increases reload speed by 7%.,ReloadSpeedMultiplier perc_add .07,affixModReloadSpeed1,[68F968]Uncommon[-] Reload Speed,Increases reload speed by 14%.,ReloadSpeedMultiplier perc_add .14,affixModReloadSpeed2,[38A6F6]Rare[-] Reload Speed,Increases reload speed by 21%.,ReloadSpeedMultiplier perc_add .21,affixModReloadSpeed3,[852EC8]Epic[-] Reload Speed,Increases reload speed by 28%.,ReloadSpeedMultiplier perc_add .28,affixModReloadSpeed4,[D6D162]Legendary[-] Reload Speed,Increases reload speed by 35%.,ReloadSpeedMultiplier perc_add .35,affixModReloadSpeed5,[FF3646]Mythic[-] Reload Speed,Increases reload speed by 42%.,ReloadSpeedMultiplier perc_add .42,affixModReloadSpeed6
affixModRoundsPerMinuteBase,gun,Common Firerate Base,Increases rounds/minute by 8.,RoundsPerMinute base_add 8,affixModRoundsPerMinuteBase1,[68F968]Uncommon[-] Firerate Base,Increases rounds/minute by 16.,RoundsPerMinute base_add 16,affixModRoundsPerMinuteBase2,[38A6F6]Rare[-] Firerate Base,Increases rounds/minute by 24.,RoundsPerMinute base_add 24,affixModRoundsPerMinuteBase3,[852EC8]Epic[-] Firerate Base,Increases rounds/minute by 32.,RoundsPerMinute base_add 32,affixModRoundsPerMinuteBase4,[D6D162]Legendary[-] Firerate Base,Increases rounds/minute by 40.,RoundsPerMinute base_add 40,affixModRoundsPerMinuteBase5,[FF3646]Mythic[-] Firerate Base,Increases rounds/minute by 48.,RoundsPerMinute base_add 48,affixModRoundsPerMinuteBase6
affixModRoundsPerMinutePerc,gun,Common Firerate %,Increases rounds/minute by 10%.,RoundsPerMinute perc_add 0.1,affixModRoundsPerMinutePerc1,[68F968]Uncommon[-] Firerate %,Increases rounds/minute by 20%.,RoundsPerMinute perc_add 0.2,affixModRoundsPerMinutePerc2,[38A6F6]Rare[-] Firerate %,Increases rounds/minute by 30%.,RoundsPerMinute perc_add 0.3,affixModRoundsPerMinutePerc3,[852EC8]Epic[-] Firerate %,Increases rounds/minute by 40%.,RoundsPerMinute perc_add 0.4,affixModRoundsPerMinutePerc4,[D6D162]Legendary[-] Firerate %,Increases rounds/minute by 50%.,RoundsPerMinute perc_add 0.5,affixModRoundsPerMinutePerc5,[FF3646]Mythic[-] Firerate %,Increases rounds/minute by 60%.,RoundsPerMinute perc_add 0.6,affixModRoundsPerMinutePerc6
affixModShock,"tool,weapon",Common Shock%,You have a 7% chance to shock an enemy for 4 seconds.,"AddBuff on onSelfDamagedOther (target=other, buff=buffShocked, duration=4)",affixModShock1,[68F968]Uncommon[-] Shock%,You have a 14% chance to shock an enemy for 4 seconds.,"AddBuff on onSelfDamagedOther (target=other, buff=buffShocked, duration=4)",affixModShock2,[38A6F6]Rare[-] Shock%,You have a 21% chance to shock an enemy for 4 seconds.,"AddBuff on onSelfDamagedOther (target=other, buff=buffShocked, duration=4)",affixModShock3,[852EC8]Epic[-] Shock%,You have a 28% chance to shock an enemy for 4 seconds.,"AddBuff on onSelfDamagedOther (target=other, buff=buffShocked, duration=4)",affixModShock4,[D6D162]Legendary[-] Shock%,You have a 35% chance to shock an enemy for 4 seconds.,"AddBuff on onSelfDamagedOther (target=other, buff=buffShocked, duration=4)",affixModShock5,[FF3646]Mythic[-] Shock%,You have a 42% chance to shock an enemy for 4 seconds.,"AddBuff on onSelfDamagedOther (target=other, buff=buffShocked, duration=4)",affixModShock6
affixModSlowPerc,"tool,melee",Common Slow PowerHeadshots,You have a 17% chance to apply a slow on a power attack headshot.,"AddBuff on onSelfSecondaryActionRayHit (target=other, buff=buffInjurySlow)",affixModSlowPerc1,[68F968]Uncommon[-] Slow PowerHeadshots,You have a 33% chance to apply a slow on a power attack headshot.,"AddBuff on onSelfSecondaryActionRayHit (target=other, buff=buffInjurySlow)",affixModSlowPerc2,[38A6F6]Rare[-] Slow PowerHeadshots,You have a 55% chance to apply a slow on a power attack headshot.,"AddBuff on onSelfSecondaryActionRayHit (target=other, buff=buffInjurySlow)",affixModSlowPerc3,[852EC8]Epic[-] Slow PowerHeadshots,You have a 67% chance to apply a slow on a power attack headshot.,"AddBuff on onSelfSecondaryActionRayHit (target=other, buff=buffInjurySlow)",affixModSlowPerc4,[D6D162]Legendary[-] Slow PowerHeadshots,You have a 83% chance to apply a slow on a power attack headshot.,"AddBuff on onSelfSecondaryActionRayHit (target=other, buff=buffInjurySlow)",affixModSlowPerc5,[FF3646]Mythic[-] Slow PowerHeadshots,You have a 100% chance to apply a slow on a power attack headshot.,"AddBuff on onSelfSecondaryActionRayHit (target=other, buff=buffInjurySlow)",affixModSlowPerc6
affixModSprintDamagePerc,"tool,melee",Common Sprint Damage,Increases sprint attack damage by 20%.,EntityDamage perc_add .2,affixModSprintDamagePerc1,[68F968]Uncommon[-] Sprint Damage,Increases sprint attack damage by 40%.,EntityDamage perc_add .4,affixModSprintDamagePerc2,[38A6F6]Rare[-] Sprint Damage,Increases sprint attack damage by 60%.,EntityDamage perc_add .6,affixModSprintDamagePerc3,[852EC8]Epic[-] Sprint Damage,Increases sprint attack damage by 80%.,EntityDamage perc_add .8,affixModSprintDamagePerc4,[D6D162]Legendary[-] Sprint Damage,Increases sprint attack damage by 100%.,EntityDamage perc_add 1,affixModSprintDamagePerc5,[FF3646]Mythic[-] Sprint Damage,Increases sprint attack damage by 120%.,EntityDamage perc_add 1.2,affixModSprintDamagePerc6
affixModStamKill,"tool,weapon",Common Stamina on Kill,You recover 3 stamina on kill.,"ModifyStats on onSelfKilledOther (stat=Stamina, operation=add, value=3)",affixModStamKill1,[68F968]Uncommon[-] Stamina on Kill,You recover 6 stamina on kill.,"ModifyStats on onSelfKilledOther (stat=Stamina, operation=add, value=6)",affixModStamKill2,[38A6F6]Rare[-] Stamina on Kill,You recover 9 stamina on kill.,"ModifyStats on onSelfKilledOther (stat=Stamina, operation=add, value=9)",affixModStamKill3,[852EC8]Epic[-] Stamina on Kill,You recover 12 stamina on kill.,"ModifyStats on onSelfKilledOther (stat=Stamina, operation=add, value=12)",affixModStamKill4,[D6D162]Legendary[-] Stamina on Kill,You recover 15 stamina on kill.,"ModifyStats on onSelfKilledOther (stat=Stamina, operation=add, value=15)",affixModStamKill5,[FF3646]Mythic[-] Stamina on Kill,You recover 20 stamina on kill.,"ModifyStats on onSelfKilledOther (stat=Stamina, operation=add, value=20)",affixModStamKill6
affixModStaminaPerc,"tool,melee",Common Stamina Cost,Decreases stamina cost by 5%.,StaminaLoss perc_add -0.05 | StaminaLoss perc_add -0.05,affixModStaminaPerc1,[68F968]Uncommon[-] Stamina Cost,Decreases stamina cost by 10%.,StaminaLoss perc_add -0.1 | StaminaLoss perc_add -0.1,affixModStaminaPerc2,[38A6F6]Rare[-] Stamina Cost,Decreases stamina cost by 15%.,StaminaLoss perc_add -0.15 | StaminaLoss perc_add -0.15,affixModStaminaPerc3,[852EC8]Epic[-] Stamina Cost,Decreases stamina cost by 20%.,StaminaLoss perc_add -0.2 | StaminaLoss perc_add -0.2,affixModStaminaPerc4,[D6D162]Legendary[-] Stamina Cost,Decreases stamina cost by 25%.,StaminaLoss perc_add -0.25 | StaminaLoss perc_add -0.25,affixModStaminaPerc5,[FF3646]Mythic[-] Stamina Cost,Decreases stamina cost by 30%.,StaminaLoss perc_add -0.3 | StaminaLoss perc_add -0.3,affixModStaminaPerc6
affixModStaminaPrimaryPerc,"tool,melee",Common Stamina Primary,Decreases stamina cost of light attacks by 6%.,StaminaLoss perc_add -0.06,affixModStaminaPrimaryPerc1,[68F968]Uncommon[-] Stamina Primary,Decreases stamina cost of light attacks by 12%.,StaminaLoss perc_add -0.12,affixModStaminaPrimaryPerc2,[38A6F6]Rare[-] Stamina Primary,Decreases stamina cost of light attacks by 18%.,StaminaLoss perc_add -0.18,affixModStaminaPrimaryPerc3,[852EC8]Epic[-] Stamina Primary,Decreases stamina cost of light attacks by 24%.,StaminaLoss perc_add -0.24,affixModStaminaPrimaryPerc4,[D6D162]Legendary[-] Stamina Primary,Decreases stamina cost of light attacks by 30%.,StaminaLoss perc_add -0.3,affixModStaminaPrimaryPerc5,[FF3646]Mythic[-] Stamina Primary,Decreases stamina cost of light attacks by 36%.,StaminaLoss perc_add -0.36,affixModStaminaPrimaryPerc6
affixModStaminaSecondaryPerc,"tool,melee",Common Stamina Secondary,Decreases stamina cost of power attacks by 5%.,StaminaLoss perc_add -0.05,affixModStaminaSecondaryPerc1,[68F968]Uncommon[-] Stamina Secondary,Decreases stamina cost of power attacks by 10%.,StaminaLoss perc_add -0.1,affixModStaminaSecondaryPerc2,[38A6F6]Rare[-] Stamina Secondary,Decreases stamina cost of power attacks by 15%.,StaminaLoss perc_add -0.15,affixModStaminaSecondaryPerc3,[852EC8]Epic[-] Stamina Secondary,Decreases stamina cost of power attacks by 20%.,StaminaLoss perc_add -0.2,affixModStaminaSecondaryPerc4,[D6D162]Legendary[-] Stamina Secondary,Decreases stamina cost of power attacks by 25%.,StaminaLoss perc_add -0.25,affixModStaminaSecondaryPerc5,[FF3646]Mythic[-] Stamina Secondary,Decreases stamina cost of power attacks by 30%.,StaminaLoss perc_add -0.3,affixModStaminaSecondaryPerc6
affixModStun,"tool,weapon",Common Stun %,You have a 6% chance to stun an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryStunned03, duration=4)",affixModStun1,[68F968]Uncommon[-] Stun %,You have a 12% chance to stun an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryStunned03, duration=4)",affixModStun2,[38A6F6]Rare[-] Stun %,You have a 18% chance to stun an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryStunned03, duration=4)",affixModStun3,[852EC8]Epic[-] Stun %,You have a 24% chance to stun an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryStunned03, duration=4)",affixModStun4,[D6D162]Legendary[-] Stun %,You have a 30% chance to stun an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryStunned03, duration=4)",affixModStun5,[FF3646]Mythic[-] Stun %,You have a 36% chance to stun an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryStunned03, duration=4)",affixModStun6
